EMPRESA	TICKER	CNPJ
LOJAS AMERICANAS	LAME3/LAME4	33.014.556/0001-96
LOJAS MARISA	AMAR3	61.189.288/0001-89
LOJAS RENNER	LREN3	92.754.738/0001-62
LPS BRASIL – CONSULTORIA DE IMOVEIS	LPSB3	08.078.847/0001-09
LUPATECH	LUPA3	89.463.822/0001-12
M.DIAS BRANCO IND COM DE ALIMENTOS	MDIA3	07.206.816/0001-15
MAGAZINE LUIZA	MGLU3	47.960.950/0001-21
MAGNESITA REFRATARIOS	MAGG3	08.684.547/0001-65
MAHLE-METAL LEVE	LEVE3	60.476.884/0001-87
MANUFATURA DE BRINQUEDOS ESTRELA	ESTR3/ESTR4	61.082.004/0001-50
MARCOPOLO	POMO3/POMO4	88.611.835/0001-29
MARFRIG GLOBAL FOODS	MRFG3	03.853.896/0001-40
MÉLIUZ	CASH3	14.110.585/0001-07
MELNICK EVEN	MELK3	12.181.987/0001-77
METALFRIO SOLUTIONS	FRIO3	04.821.041/0001-08
METALURGICA GERDAU	GOAU3/GOAU4	92.690.783/0001-09
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA	MILS3	27.093.558/0001-15
MINERVA	BEEF3	67.620.377/0001-14
MITRE	MTRE3	07.882.930/0001-65
MITRE REALTY	MTRE3	07.882.930/0001-65
MMX MINERACAO E METALICOS	MMXM3	02.762.115/0001-49
MOBLY	MBLY3	31.553.627/0001-01
MODAL MAIS	MODL11	30.723.886/0001-62
MOSAICO VENTURES	MOSI3	09.083.175/0001-84
MOURA DUBEUX	MDNE3	12.049.631/0001-84
MOVIDA	MOVI3	21.314.559/0001-66
MRV ENGENHARIA	MRVE3	08.343.492/0001-20
MULTILASER	MLAS3	59.717.553/0001-02
MULTIPLAN	MULT3	07.816.890/0001-53
MULTIPLUS	MPLU3	11.094.546/0001-75
MUNDIAL – PRODUTOS DE CONSUMO	MNDL3	88.610.191/0001-54
NADIR FIGUEIREDO	NAFG3/NAFG4	61.067.161/0001-97
NATURA COSMETICOS	NTCO3	71.673.990/0001-77
NEOENERGIA	NEOE3	01.083.200/0001-18
NEOGRID	NGRD3	10.139.870/0001-08
NOTRE DAME INTERMÉDICA	GNDI3	19.853.511/0001-84
NTERNATIONAL MEAL COMPANY ALIMENTACAO	MEAL3	17.314.329/0001-20
OCEAN PACT	OPCT3	09.114.805/0001-30
ODONTOPREV	ODPV3	58.119.199/0001-51
OI	OIBR3/OIBR4	76.535.764/0001-43
ONCOCLÍNICAS	ONCO3	12.104.241/0004-02
ORIZON	ORVR3	11.421.994/0001-36
OSX BRASIL	OSXB3	09.112.685/0001-32
OURO FINO SAUDE ANIMAL	OFSA3	20.258.278/0001-70
PAGUE MENOS	PGMN3	06.626.253/0001-51
PARANAPANEMA	PMAM3	60.398.369/0004-79
PDG REALTY	PDGR3	02.950.811/0001-89
